temperature,humidity,wind_speed,days_no_rain,vegetation_area,fire_risk,fire
24.6,90.1,12.0,20,1,47,0
15.4,47.4,14.5,7,1,44,0
24.9,85.7,13.2,45,0,70,1
25.3,28.9,15.2,103,0,100,1
37.3,87.7,7.3,109,0,100,1
24.0,30.2,16.6,6,1,72,1
26.5,51.8,11.0,22,0,70,1
24.8,83.8,20.4,107,0,100,1
19.2,32.0,6.6,95,0,100,1
30.7,38.3,18.7,74,1,100,1
28.8,77.8,11.0,85,0,100,1
29.0,77.6,6.7,21,1,55,1
20.5,71.3,7.6,106,1,100,1
32.0,75.5,8.4,88,0,100,1
18.0,63.4,12.1,21,1,48,0
27.9,40.1,12.6,91,0,100,1
36.0,47.7,7.1,28,1,90,1
20.0,34.5,9.9,12,1,57,1
22.2,92.7,20.7,81,1,100,1
25.5,66.7,18.6,1,0,56,1
22.5,52.1,12.2,28,0,68,1
17.2,57.0,10.2,84,0,94,1
25.3,95.8,10.6,78,0,87,1
19.7,32.3,13.1,51,0,91,1
27.4,66.9,4.9,26,0,58,1
20.4,60.5,8.7,49,0,70,1
32.7,68.9,1.7,94,0,100,1
21.1,21.4,12.0,78,1,100,1
23.4,89.8,13.2,114,0,100,1
29.1,94.6,7.6,22,0,49,0
18.8,65.2,17.9,87,0,100,1
26.1,75.7,3.9,43,0,62,1
31.5,93.8,2.7,76,1,87,1
17.0,76.6,11.1,21,0,38,0
25.9,32.2,15.2,42,1,100,1
26.3,66.1,18.4,36,1,84,1
28.9,68.5,7.7,60,1,90,1
18.8,53.9,15.4,96,1,100,1
18.4,78.9,9.8,55,1,63,1
27.6,94.7,9.1,2,1,33,0
26.5,94.0,14.4,62,1,84,1
26.3,56.1,13.3,117,1,100,1
26.7,29.1,2.1,18,1,66,1
21.6,98.8,17.4,22,1,46,0
26.2,87.1,16.9,28,1,65,1
26.5,30.0,6.9,29,0,80,1
21.4,93.7,12.0,38,0,52,1
34.3,89.6,12.5,107,0,100,1
27.4,61.5,11.3,110,0,100,1
19.0,67.3,7.2,24,0,43,0
28.3,51.9,6.6,100,0,100,1
20.1,24.4,9.9,110,1,100,1
28.9,46.8,15.9,7,0,74,1
30.8,84.2,12.7,105,1,100,1
20.9,20.4,8.1,57,0,97,1
29.8,46.7,13.9,15,0,78,1
27.1,51.9,-4.2,71,1,85,1
29.1,63.0,15.7,0,1,60,1
34.5,93.6,1.3,107,0,100,1
23.8,47.7,8.2,4,1,49,0
21.2,47.8,4.4,2,1,37,0
20.6,79.0,3.5,64,0,65,1
20.9,56.2,15.8,3,0,50,0
24.6,38.0,7.7,103,1,100,1
26.7,56.2,11.7,98,1,100,1
26.4,31.3,9.8,95,1,100,1
29.1,34.1,12.4,63,1,100,1
25.1,59.9,10.4,105,0,100,1
32.3,53.5,3.6,97,0,100,1
23.7,93.2,15.0,106,0,100,1
38.6,49.0,7.5,88,1,100,1
28.1,66.4,2.2,9,1,43,0
20.7,70.6,7.9,20,1,43,0
19.6,21.0,17.5,45,0,99,1
27.4,73.1,14.3,102,0,100,1
23.9,34.2,8.3,90,0,100,1
28.6,96.9,8.3,26,1,51,1
27.4,31.9,8.4,65,1,100,1
24.6,53.2,20.4,40,0,93,1
20.8,26.8,11.9,111,1,100,1
17.4,99.7,12.2,12,0,22,0
22.8,60.2,15.2,8,1,54,1
29.3,67.6,11.2,115,0,100,1
26.1,25.4,8.7,35,1,89,1
18.8,80.0,9.0,85,0,85,1
25.9,36.8,9.6,105,1,100,1
26.9,91.8,9.8,89,0,99,1
20.6,36.4,13.6,57,0,96,1
25.8,35.3,10.3,53,0,99,1
25.3,22.9,13.7,11,0,78,1
19.3,57.8,9.6,80,0,94,1
26.8,65.2,10.4,77,1,100,1
27.8,25.3,0.0,13,0,63,1
30.4,82.0,14.6,33,1,76,1
30.3,56.3,11.7,52,1,99,1
18.1,62.0,15.0,19,1,52,1
20.3,55.3,-4.5,74,0,72,1
27.6,52.1,20.4,15,0,81,1
27.6,64.8,9.3,114,1,100,1
27.6,32.4,15.5,94,1,100,1
44.3,34.6,4.8,118,0,100,1
27.9,88.9,13.1,69,0,93,1
30.7,95.7,4.7,55,0,72,1
29.8,49.9,6.9,82,1,100,1
28.3,41.7,19.6,100,0,100,1
23.4,71.5,9.0,57,0,77,1
28.8,52.7,11.1,3,1,60,1
21.1,22.0,14.4,110,0,100,1
23.8,32.5,12.5,3,0,62,1
22.6,77.3,10.8,19,1,47,0
25.4,72.7,11.8,9,1,49,0
36.6,22.2,22.0,23,0,100,1
15.7,37.8,9.7,117,0,100,1
28.4,38.5,11.0,98,0,100,1
16.9,73.8,15.3,25,0,49,0
22.6,21.6,15.5,36,1,95,1
30.4,28.3,15.9,101,0,100,1
25.3,84.0,13.2,84,0,100,1
19.6,34.3,4.3,53,0,78,1
21.4,72.2,18.2,103,1,100,1
28.4,39.1,4.3,102,1,100,1
21.3,28.0,11.5,20,1,71,1
26.1,39.5,6.2,73,0,100,1
25.2,77.8,9.7,37,1,64,1
21.7,88.5,11.6,45,1,60,1
35.7,86.4,11.6,3,0,58,1
28.2,51.8,12.1,59,0,100,1
14.9,73.4,18.1,56,0,72,1
25.9,36.4,12.3,44,0,95,1
21.7,43.5,8.8,19,0,59,1
29.3,91.7,14.8,16,0,57,1
21.0,21.0,15.9,118,0,100,1
24.4,26.8,3.9,70,1,100,1
27.5,36.6,13.0,3,0,68,1
29.3,22.1,13.5,92,1,100,1
19.0,34.5,8.5,13,1,53,1
23.3,66.6,16.9,2,1,50,1
22.6,53.7,9.2,87,1,100,1
21.7,91.4,10.6,100,0,99,1
33.8,85.4,9.1,79,1,100,1
27.0,47.3,10.1,57,0,98,1
18.7,40.8,4.5,54,0,74,1
29.6,50.4,2.8,115,1,100,1
35.6,67.2,18.0,3,0,77,1
30.2,41.4,5.8,119,0,100,1
17.4,69.9,5.0,23,1,35,0
22.6,52.8,-0.8,33,1,52,1
31.3,64.2,6.8,29,1,73,1
21.5,54.9,3.4,81,0,91,1
27.2,43.6,18.2,18,1,83,1
28.9,95.9,15.0,30,0,65,1
20.4,81.1,6.6,59,1,64,1
24.7,31.2,21.3,59,1,100,1
8.8,89.5,14.9,18,1,19,0
19.9,59.0,8.4,48,1,69,1
23.7,91.6,-2.5,62,0,54,1
18.8,84.0,21.5,109,1,100,1
33.2,54.0,3.1,82,1,100,1
17.8,21.8,1.8,21,0,53,1
22.8,41.5,15.1,23,1,75,1
25.7,63.3,22.2,108,0,100,1
32.2,70.7,16.9,75,1,100,1
17.8,40.6,12.8,29,1,66,1
30.8,31.1,13.0,57,1,100,1
25.1,86.8,14.3,101,0,100,1
20.1,98.8,13.8,116,1,100,1
27.3,62.1,11.4,30,1,73,1
26.0,33.7,10.5,99,1,100,1
22.0,41.8,9.7,63,0,95,1
25.3,21.5,6.2,18,0,73,1
23.1,93.1,8.6,47,1,58,1
25.6,29.4,1.5,44,0,82,1
28.3,66.1,9.5,99,1,100,1
32.9,41.9,5.1,93,1,100,1
18.8,64.3,4.5,54,1,63,1
35.7,72.1,10.9,112,1,100,1
15.2,86.4,17.0,54,1,63,1
24.2,36.5,14.6,96,0,100,1
27.9,20.9,2.1,17,0,71,1
26.4,31.0,5.1,62,0,100,1
21.9,92.0,14.7,115,0,100,1
24.0,89.9,5.1,112,1,100,1
22.5,67.8,8.9,91,1,100,1
22.1,68.0,12.8,46,1,74,1
29.2,73.2,5.2,74,1,95,1
26.8,34.0,10.5,56,1,100,1
21.5,93.2,3.3,117,1,99,1
29.5,53.5,7.0,44,1,86,1
26.5,50.7,11.6,32,1,79,1
29.1,61.5,2.0,16,0,52,1
28.1,23.8,12.2,69,0,100,1
20.9,33.3,9.9,3,0,52,1
22.2,79.0,12.8,19,1,48,0
28.7,26.6,11.1,111,1,100,1
28.1,68.3,16.8,46,0,92,1
24.9,39.6,10.6,90,0,100,1
25.6,51.1,7.9,14,1,58,1
31.4,43.1,10.6,69,0,100,1
22.0,48.5,12.7,46,0,83,1
27.7,77.5,10.2,77,1,100,1
24.0,43.8,10.2,74,0,100,1
23.9,65.3,6.5,102,0,100,1
30.5,58.1,6.7,8,1,58,1
29.1,73.1,3.0,89,1,100,1
29.1,94.9,18.7,15,1,60,1
31.5,78.6,3.8,68,0,90,1
25.1,37.2,6.5,115,0,100,1
28.4,22.5,6.4,60,0,100,1
23.4,41.0,14.5,9,1,65,1
26.6,67.6,8.5,49,1,79,1
24.3,24.1,16.2,2,0,72,1
25.5,59.7,6.6,76,1,98,1
28.0,67.7,11.4,106,0,100,1
20.9,46.7,5.8,112,0,100,1
35.5,81.7,20.7,93,0,100,1
20.0,28.5,4.1,117,0,100,1
18.9,26.0,11.5,108,1,100,1
30.8,78.3,13.2,69,1,100,1
29.0,59.6,12.1,80,0,100,1
28.1,75.1,9.1,108,1,100,1
28.1,54.8,9.4,50,0,90,1
24.9,39.7,10.2,116,1,100,1
20.5,85.5,9.3,18,1,36,0
25.4,84.0,14.8,41,0,72,1
21.6,75.6,21.1,34,1,73,1
29.9,41.8,7.2,45,0,93,1
24.3,67.2,3.2,25,0,48,0
20.9,48.9,9.6,114,0,100,1
23.4,27.3,22.9,68,1,100,1
27.1,93.4,6.0,92,1,95,1
22.2,30.9,18.2,63,0,100,1
20.9,96.0,18.4,36,1,58,1
26.2,55.7,7.2,83,1,100,1
26.2,34.8,12.8,48,1,100,1
22.5,63.4,18.1,20,1,65,1
22.6,89.8,8.1,73,1,77,1
26.2,78.6,9.0,63,0,84,1
17.8,84.5,7.1,4,0,17,0
18.0,72.7,4.9,99,1,91,1
21.4,75.4,6.8,69,0,77,1
23.9,87.9,3.9,89,1,86,1
26.6,40.0,10.2,3,1,61,1
32.4,59.2,6.2,102,0,100,1
29.3,37.7,11.2,38,0,95,1
24.2,99.0,2.2,113,0,97,1
24.9,95.5,11.7,34,1,55,1
20.0,23.2,14.2,0,0,60,1
24.9,76.4,0.0,23,0,39,0
23.6,94.0,11.9,56,0,70,1
26.6,34.4,16.1,99,0,100,1
20.9,65.4,4.0,69,0,77,1
27.6,93.2,18.4,40,0,76,1
32.7,22.7,12.1,53,1,100,1
24.5,75.8,6.5,45,0,64,1
27.0,43.8,9.7,59,0,100,1
28.5,94.0,12.8,107,0,100,1
23.0,97.7,10.4,59,0,67,1
26.1,95.5,12.7,56,1,76,1
25.1,57.9,5.4,30,1,62,1
25.5,89.0,10.8,83,0,95,1
21.1,87.6,2.9,23,1,30,0
25.1,45.5,9.4,88,0,100,1
27.5,86.3,5.5,35,0,56,1
32.3,23.0,6.3,84,1,100,1
29.8,67.7,16.2,29,1,82,1
35.8,38.4,15.5,23,1,100,1
21.2,29.6,13.0,107,0,100,1
29.4,26.2,4.5,105,1,100,1
25.9,75.7,8.4,29,0,58,1
35.9,47.2,16.1,85,0,100,1
21.0,78.0,10.7,91,1,97,1
20.8,25.2,21.6,6,0,76,1
22.0,45.2,12.0,34,1,75,1
14.4,63.2,11.0,54,1,64,1
22.4,83.3,8.5,91,0,94,1
21.2,45.5,10.7,13,1,55,1
25.8,70.1,9.2,119,1,100,1
26.7,90.9,13.5,9,0,45,0
34.4,69.3,14.8,79,1,100,1
29.8,38.6,6.1,15,1,71,1
22.1,22.0,3.3,53,0,88,1
20.5,89.6,0.8,94,1,78,1
27.5,21.7,12.5,105,1,100,1
18.4,90.0,4.5,88,0,75,1
34.2,62.3,-0.8,76,1,100,1
30.9,95.1,11.9,69,0,94,1
22.7,83.9,22.5,43,1,79,1
16.4,99.8,10.0,72,1,62,1
31.8,48.1,14.2,44,0,100,1
24.4,81.4,10.4,99,0,100,1
31.2,52.2,9.5,55,1,100,1
17.0,58.4,14.6,106,0,100,1
22.0,70.2,8.5,83,1,94,1
25.0,89.9,11.3,81,0,93,1
25.2,98.7,11.6,106,1,100,1
22.7,81.5,6.7,56,1,67,1
28.1,53.4,15.0,20,1,77,1
19.7,53.7,9.1,67,0,86,1
24.3,79.0,6.2,49,1,65,1
25.6,39.1,12.7,32,1,85,1
27.6,28.8,5.5,90,0,100,1
28.6,48.4,10.1,6,0,63,1
19.4,43.0,10.0,69,0,94,1
17.3,43.7,15.4,14,1,56,1
31.4,38.7,12.4,81,1,100,1
26.7,23.4,9.9,31,0,90,1
21.3,21.4,14.1,119,1,100,1
32.8,99.0,17.0,74,0,100,1
25.6,54.2,12.8,19,0,67,1
30.9,50.7,10.1,87,1,100,1
25.3,74.4,3.4,14,1,39,0
35.3,37.5,4.7,47,1,100,1
33.8,96.0,8.5,70,0,95,1
23.8,82.9,7.0,20,1,41,0
29.9,27.2,9.1,41,0,100,1
28.2,53.4,10.3,25,0,74,1
31.8,90.3,12.6,107,0,100,1
20.2,95.6,9.6,119,1,100,1
28.4,57.4,12.4,13,1,67,1
30.3,69.1,10.3,56,0,94,1
16.2,33.4,0.1,36,1,53,1
19.1,99.3,5.3,57,1,49,0
14.8,38.5,9.3,20,0,49,0
23.7,95.4,4.0,81,1,76,1
28.6,72.0,13.0,68,1,100,1
32.5,68.6,17.7,2,0,69,1
25.4,61.0,16.1,86,0,100,1
33.1,38.5,8.9,89,1,100,1
18.1,34.1,17.5,36,1,82,1
16.5,37.6,10.7,87,1,100,1
24.7,34.9,8.3,48,0,90,1
26.9,82.4,6.9,18,1,47,0
24.8,48.0,8.5,114,0,100,1
14.7,24.6,8.1,88,0,100,1
24.6,97.5,10.9,84,1,90,1
18.5,90.7,10.8,11,0,26,0
28.3,94.2,10.0,60,0,80,1
26.8,99.6,12.2,40,0,62,1
20.3,33.9,16.0,32,0,82,1
22.4,51.7,14.7,49,0,88,1
19.7,80.7,2.6,116,1,100,1
24.7,75.7,-2.8,67,0,68,1
29.8,32.3,14.7,105,1,100,1
20.1,85.3,3.2,70,1,65,1
27.5,38.0,8.9,85,1,100,1
22.3,37.9,4.1,118,0,100,1
21.0,63.0,1.0,32,1,46,0
24.5,67.4,12.7,80,1,100,1
19.8,66.4,13.8,23,1,54,1
22.2,27.3,7.1,60,1,96,1
19.0,90.2,-3.0,60,1,43,0
34.8,41.2,7.3,97,0,100,1
25.2,30.4,12.0,27,1,83,1
21.5,91.1,2.6,57,1,54,1
26.1,96.5,10.9,42,1,62,1
24.4,89.0,9.9,40,1,59,1
23.9,84.8,12.9,38,0,63,1
28.1,72.4,10.6,85,1,100,1
28.8,64.1,5.1,48,0,79,1
22.3,27.0,16.0,16,0,77,1
22.1,52.7,9.2,97,0,100,1
23.6,49.8,9.9,69,0,99,1
13.5,40.8,5.3,109,1,100,1
17.4,77.9,7.8,69,0,69,1
31.8,59.7,5.6,97,0,100,1
33.2,26.5,9.1,64,1,100,1
23.8,37.6,18.6,73,1,100,1
27.9,74.7,3.1,84,1,96,1
26.6,26.1,1.9,4,1,56,1
40.4,88.1,17.4,1,1,74,1
30.6,59.6,9.0,21,0,71,1
24.4,58.4,6.7,111,0,100,1
20.2,67.4,15.2,56,1,82,1
17.0,86.0,7.0,65,0,60,1
26.0,47.8,19.1,73,1,100,1
21.2,74.2,13.4,97,0,100,1
17.9,65.3,7.6,15,0,36,0
21.8,41.4,20.8,111,1,100,1
19.6,90.3,7.0,50,1,52,1
33.4,83.8,13.7,38,1,84,1
29.4,72.7,11.5,85,1,100,1
25.0,88.0,16.5,75,0,97,1
32.4,89.4,17.8,87,0,100,1
25.4,76.7,10.2,110,1,100,1
20.7,87.0,6.2,39,1,47,0
32.6,75.8,12.3,37,0,84,1
27.7,74.4,6.6,59,1,82,1
19.8,69.5,20.1,58,0,88,1
24.0,80.2,10.7,9,0,41,0
20.6,32.7,8.2,98,0,100,1
18.1,90.5,10.9,63,1,65,1
